bug_line,signal,is_libc,is_rfsimulator,category,test_case
/home/openairinterface5g/openair1/PHY/NR_UE_TRANSPORT/srs_modulation_nr.c:383,SIGSEGV,False,False,c3,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f452_f453/ue_crash_1_20260113_025913.log
/home/openairinterface5g/openair1/PHY/NR_UE_TRANSPORT/srs_modulation_nr.c:383,SIGSEGV,False,False,c3,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f452_f453/ue_crash_1_20260113_025924.log
/home/openairinterface5g/openair1/PHY/NR_UE_TRANSPORT/srs_modulation_nr.c:383,SIGSEGV,False,False,c3,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f452_f453/ue_crash_1_20260113_025935.log
/home/openairinterface5g/openair1/PHY/nr_phy_common/src/nr_phy_common_csirs.c:42,SIGSEGV,False,False,c3,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f694_f697/ue_crash_1_20260113_030830.log
/home/openairinterface5g/openair1/PHY/nr_phy_common/src/nr_phy_common_csirs.c:42,SIGSEGV,False,False,c3,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f694_f697/ue_crash_1_20260113_030840.log
/home/openairinterface5g/openair1/PHY/nr_phy_common/src/nr_phy_common_csirs.c:42,SIGSEGV,False,False,c3,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f694_f697/ue_crash_1_20260113_030852.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_0_20251214_165117.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_0_20251214_165133.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_0_20251214_165150.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_1_20251214_165120.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_1_20251214_165137.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_1_20251214_165153.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_2_20251214_165124.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_2_20251214_165141.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_2_20251214_165157.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut2/ue_crash_0_20251214_165206.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut2/ue_crash_0_20251214_165223.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut2/ue_crash_0_20251214_165240.log
