Offset: 192, New Value: 6c
Offset: 193, New Value: 10
Offset: 195, New Value: 00
Offset: 196, New Value: 40
Offset: 197, New Value: 41
Offset: 198, New Value: 48
Offset: 199, New Value: 50
Offset: 200, New Value: 36
Offset: 201, New Value: 1c
Offset: 202, New Value: b2
Offset: 203, New Value: a0
Offset: 204, New Value: 10
Offset: 205, New Value: 7f
Offset: 206, New Value: e0
Offset: 210, New Value: 00
Offset: 211, New Value: 20
Offset: 213, New Value: 06
Offset: 214, New Value: e6
Offset: 215, New Value: 18
Offset: 216, New Value: 40
Offset: 217, New Value: 00
Offset: 218, New Value: 10
Offset: 219, New Value: 02
Offset: 220, New Value: ca
Offset: 222, New Value: 00
Offset: 223, New Value: 90
Offset: 224, New Value: 40
Offset: 226, New Value: 0a
Offset: 227, New Value: 81
Offset: 228, New Value: 26
Offset: 229, New Value: db
Offset: 230, New Value: 0c
Offset: 231, New Value: 5a
Offset: 232, New Value: 99
Offset: 233, New Value: 41
Offset: 234, New Value: 09
Offset: 235, New Value: e0
Offset: 240, New Value: 06
Offset: 242, New Value: 01
Offset: 243, New Value: b9
Offset: 244, New Value: 08
Offset: 245, New Value: 10
Offset: 247, New Value: 00
Offset: 248, New Value: 40
Offset: 249, New Value: 41
Offset: 250, New Value: 48
Offset: 251, New Value: 6a
Offset: 252, New Value: 43
Offset: 253, New Value: 16
Offset: 254, New Value: 32
Offset: 255, New Value: a0
Offset: 256, New Value: 10
Offset: 257, New Value: 9e
Offset: 262, New Value: 00
Offset: 263, New Value: 60
Offset: 265, New Value: 06
Offset: 266, New Value: e6
Offset: 267, New Value: a0
Offset: 268, New Value: 40
Offset: 269, New Value: 00
Offset: 270, New Value: 10
Offset: 271, New Value: 02
Offset: 272, New Value: ca
Offset: 274, New Value: 00
Offset: 275, New Value: 90
Offset: 276, New Value: 40
Offset: 278, New Value: 0b
Offset: 279, New Value: 81
Offset: 280, New Value: 26
Offset: 281, New Value: 4a
Offset: 282, New Value: c6
Offset: 283, New Value: aa
Offset: 284, New Value: 49
Offset: 285, New Value: a8
Offset: 287, New Value: 02
Offset: 288, New Value: 00
Offset: 289, New Value: 40
Offset: 290, New Value: 40
Offset: 291, New Value: 00
Offset: 292, New Value: 80
Offset: 293, New Value: 0d
Offset: 294, New Value: 01
Offset: 295, New Value: 00
Offset: 296, New Value: 13
Offset: 297, New Value: b6
Offset: 298, New Value: 49
Offset: 299, New Value: 18
Offset: 300, New Value: 0e
Offset: 301, New Value: e0
Offset: 302, New Value: 3a
Offset: 303, New Value: b3
Offset: 304, New Value: c4
Offset: 305, New Value: d5
Offset: 306, New Value: e0
Offset: 308, New Value: 00
Offset: 309, New Value: 14
Offset: 310, New Value: d0
Offset: 311, New Value: 80
Offset: 312, New Value: 10
Offset: 313, New Value: 00
Offset: 314, New Value: 12
Offset: 315, New Value: c0
Offset: 316, New Value: 61
Offset: 317, New Value: 06
Offset: 318, New Value: 01
Offset: 319, New Value: 60
Offset: 320, New Value: e0
Offset: 321, New Value: c1
Offset: 322, New Value: 0e
Offset: 323, New Value: 00
Offset: 324, New Value: 18
Offset: 325, New Value: 94
Offset: 326, New Value: 0e
Offset: 328, New Value: 00
Offset: 329, New Value: 10
Offset: 330, New Value: 8f
Offset: 331, New Value: 7a
Offset: 332, New Value: 00
Offset: 333, New Value: 80
Offset: 334, New Value: 00
Offset: 335, New Value: 80
Offset: 337, New Value: 03
Offset: 338, New Value: 20
Offset: 339, New Value: 00
Offset: 340, New Value: a0
Offset: 341, New Value: 01
Offset: 342, New Value: 32
Offset: 343, New Value: 67
Offset: 344, New Value: 0c
Offset: 345, New Value: b3
Offset: 346, New Value: 39
Offset: 347, New Value: c5
Offset: 348, New Value: a9
Offset: 349, New Value: 8b
Offset: 350, New Value: 6f
Offset: 351, New Value: 16
Offset: 352, New Value: 9a
Offset: 353, New Value: 3d
Offset: 354, New Value: 32
Offset: 355, New Value: 70
Offset: 356, New Value: 98
Offset: 357, New Value: 14
Offset: 358, New Value: 42
Offset: 359, New Value: 35
Offset: 360, New Value: 52
Offset: 361, New Value: 4d
Offset: 362, New Value: 40
Offset: 363, New Value: 00
Offset: 364, New Value: 10
Offset: 365, New Value: 02
Offset: 366, New Value: 02
Offset: 368, New Value: 04
Offset: 369, New Value: 00
Offset: 370, New Value: 68
Offset: 371, New Value: 08
Offset: 372, New Value: 00
Offset: 373, New Value: 9d
Offset: 374, New Value: b2
Offset: 375, New Value: 48
Offset: 376, New Value: c0
Offset: 377, New Value: 77
Offset: 378, New Value: 01
Offset: 379, New Value: d5
Offset: 380, New Value: 9e
Offset: 381, New Value: 26
Offset: 382, New Value: af
Offset: 385, New Value: 00
Offset: 386, New Value: a6
Offset: 387, New Value: 84
Offset: 388, New Value: 00
Offset: 389, New Value: 80
Offset: 390, New Value: 00
Offset: 391, New Value: 96
Offset: 392, New Value: 03
Offset: 393, New Value: 08
Offset: 394, New Value: 30
Offset: 395, New Value: 0b
Offset: 396, New Value: 07
Offset: 397, New Value: 06
Offset: 398, New Value: 08
Offset: 399, New Value: 70
Offset: 400, New Value: 00
Offset: 401, New Value: c4
Offset: 402, New Value: a0
Offset: 403, New Value: 70
Offset: 404, New Value: 40
Offset: 405, New Value: 18
Offset: 406, New Value: 7b
Offset: 407, New Value: d0
Offset: 408, New Value: 04
Offset: 409, New Value: 10
Offset: 410, New Value: 04
Offset: 412, New Value: 00
Offset: 413, New Value: 19
Offset: 414, New Value: 02
Offset: 415, New Value: 30
Offset: 416, New Value: 20
Offset: 417, New Value: 28
Offset: 418, New Value: 00
Offset: 419, New Value: 34
Offset: 420, New Value: 63
Offset: 421, New Value: 5b
Offset: 422, New Value: 63
Offset: 423, New Value: 39
Offset: 424, New Value: c5
Offset: 425, New Value: a9
Offset: 426, New Value: 8b
Offset: 427, New Value: 6f
Offset: 428, New Value: 16
Offset: 429, New Value: 9a
Offset: 430, New Value: 3d
Offset: 431, New Value: 32
Offset: 432, New Value: 70
Offset: 433, New Value: 98
Offset: 434, New Value: 14
Offset: 435, New Value: 42
Offset: 436, New Value: 35
Offset: 437, New Value: 52
Offset: 438, New Value: 4d
Offset: 439, New Value: 40
Offset: 440, New Value: 00
Offset: 441, New Value: 10
Offset: 442, New Value: 02
Offset: 443, New Value: 02
Offset: 445, New Value: 04
Offset: 446, New Value: 00
Offset: 447, New Value: 68
Offset: 448, New Value: 08
Offset: 449, New Value: 00
Offset: 450, New Value: 9d
Offset: 451, New Value: b2
Offset: 452, New Value: 48
Offset: 453, New Value: c0
Offset: 454, New Value: 77
Offset: 455, New Value: 01
Offset: 456, New Value: d5
Offset: 457, New Value: 9e
Offset: 458, New Value: 26
Offset: 459, New Value: af
Offset: 462, New Value: 00
Offset: 463, New Value: a6
Offset: 464, New Value: 84
Offset: 465, New Value: 00
Offset: 466, New Value: 80
Offset: 467, New Value: 00
Offset: 468, New Value: 96
Offset: 469, New Value: 03
Offset: 470, New Value: 08
Offset: 471, New Value: 30
Offset: 472, New Value: 0b
Offset: 473, New Value: 07
Offset: 474, New Value: 06
Offset: 475, New Value: 08
Offset: 476, New Value: 70
Offset: 477, New Value: 00
Offset: 478, New Value: c4
Offset: 479, New Value: a0
Offset: 480, New Value: 70
Offset: 481, New Value: 80
Offset: 482, New Value: 28
Offset: 483, New Value: 7b
Offset: 484, New Value: d0
Offset: 485, New Value: 04
Offset: 486, New Value: 20
Offset: 487, New Value: 04
Offset: 490, New Value: 0c
Offset: 491, New Value: 02
Offset: 492, New Value: 30
Offset: 493, New Value: 20
Offset: 494, New Value: 28
Offset: 495, New Value: 00
Offset: 496, New Value: 36
Offset: 497, New Value: 61
Offset: 498, New Value: 8b
Offset: 499, New Value: 53
Offset: 500, New Value: 39
Offset: 501, New Value: c5
Offset: 502, New Value: a9
Offset: 503, New Value: 8b
Offset: 504, New Value: 6f
Offset: 505, New Value: 16
Offset: 506, New Value: 9a
Offset: 507, New Value: 3d
Offset: 508, New Value: 32
Offset: 509, New Value: 70
Offset: 510, New Value: 98
Offset: 511, New Value: 14
Offset: 512, New Value: 42
Offset: 513, New Value: 35
Offset: 514, New Value: 52
Offset: 515, New Value: 4d
Offset: 516, New Value: 40
Offset: 517, New Value: 00
Offset: 518, New Value: 10
Offset: 519, New Value: 02
Offset: 520, New Value: 02
Offset: 522, New Value: 04
Offset: 523, New Value: 00
Offset: 524, New Value: 68
Offset: 525, New Value: 08
Offset: 526, New Value: 00
Offset: 527, New Value: 9d
Offset: 528, New Value: b2
Offset: 529, New Value: 48
Offset: 530, New Value: c0
Offset: 531, New Value: 77
Offset: 532, New Value: 01
Offset: 533, New Value: d5
Offset: 534, New Value: 9e
Offset: 535, New Value: 26
Offset: 536, New Value: af
Offset: 539, New Value: 00
Offset: 540, New Value: a6
Offset: 541, New Value: 84
Offset: 542, New Value: 00
Offset: 543, New Value: 80
Offset: 544, New Value: 00
Offset: 545, New Value: 96
Offset: 546, New Value: 03
Offset: 547, New Value: 08
Offset: 548, New Value: 30
Offset: 549, New Value: 0b
Offset: 550, New Value: 07
Offset: 551, New Value: 06
Offset: 552, New Value: 08
Offset: 553, New Value: 70
Offset: 554, New Value: 00
Offset: 555, New Value: c4
Offset: 556, New Value: a0
Offset: 557, New Value: 70
Offset: 558, New Value: c0
Offset: 559, New Value: 38
Offset: 560, New Value: 7b
Offset: 561, New Value: d0
Offset: 562, New Value: 04
Offset: 563, New Value: 30
Offset: 564, New Value: 04
Offset: 567, New Value: 05
Offset: 568, New Value: 02
Offset: 569, New Value: 30
Offset: 570, New Value: 20
Offset: 571, New Value: 28
Offset: 572, New Value: 00
Offset: 573, New Value: 1c
Offset: 574, New Value: a8
Offset: 575, New Value: 28
Offset: 576, New Value: 03
Offset: 577, New Value: 11
Offset: 579, New Value: 54
Offset: 580, New Value: 00
Offset: 581, New Value: 9c
Offset: 582, New Value: 00
Offset: 583, New Value: c1
Offset: 584, New Value: 3a
Offset: 585, New Value: a0
Offset: 586, New Value: 02
Offset: 587, New Value: a2
Offset: 588, New Value: 10
Offset: 589, New Value: 02
Offset: 590, New Value: 80
Offset: 591, New Value: 00
