Offset: 611, New Value: b0
Offset: 612, New Value: a0
Offset: 613, New Value: 00
Offset: 614, New Value: 80
Offset: 618, New Value: 10
Offset: 620, New Value: 40
Offset: 621, New Value: 20
Offset: 622, New Value: 00
Offset: 623, New Value: 84
Offset: 624, New Value: e0
Offset: 625, New Value: ba
Offset: 627, New Value: 2a
Offset: 628, New Value: 50
Offset: 629, New Value: 03
Offset: 630, New Value: 86
Offset: 631, New Value: e8
Offset: 633, New Value: 39
Offset: 634, New Value: 41
Offset: 635, New Value: 4e
Offset: 636, New Value: 2b
Offset: 637, New Value: a0
Offset: 639, New Value: 05
Offset: 640, New Value: 0a
Offset: 641, New Value: 04
Offset: 644, New Value: 08
Offset: 645, New Value: 08
Offset: 646, New Value: 20
Offset: 647, New Value: 20
Offset: 650, New Value: 00
Offset: 651, New Value: 81
Offset: 652, New Value: 52
Offset: 653, New Value: 01
Offset: 654, New Value: 80
Offset: 655, New Value: 50
Offset: 657, New Value: 60
Offset: 658, New Value: b8
Offset: 660, New Value: 61
Offset: 661, New Value: 62
Offset: 662, New Value: 02
Offset: 663, New Value: 80
Offset: 664, New Value: 90
Offset: 665, New Value: 02
Offset: 666, New Value: a0
Offset: 667, New Value: c8
Offset: 668, New Value: 02
Offset: 669, New Value: a1
Offset: 670, New Value: 72
Offset: 671, New Value: 03
Offset: 672, New Value: 80
Offset: 673, New Value: d0
Offset: 674, New Value: 04
Offset: 675, New Value: e0
Offset: 676, New Value: d8
Offset: 677, New Value: 04
Offset: 678, New Value: e1
Offset: 679, New Value: 4b
Offset: 680, New Value: 40
Offset: 681, New Value: 81
Offset: 682, New Value: 16
Offset: 683, New Value: 40
Offset: 684, New Value: 38
Offset: 685, New Value: 41
Offset: 686, New Value: 1c
Offset: 687, New Value: 63
Offset: 688, New Value: f0
Offset: 689, New Value: 34
Offset: 690, New Value: 40
Offset: 691, New Value: 05
Offset: 692, New Value: 81
Offset: 693, New Value: 20
Offset: 694, New Value: 20
Offset: 695, New Value: 20
Offset: 696, New Value: a9
Offset: 697, New Value: 82
Offset: 698, New Value: d0
Offset: 699, New Value: 40
Offset: 700, New Value: 86
Offset: 701, New Value: 10
Offset: 702, New Value: 0e
Offset: 703, New Value: 20
Offset: 704, New Value: 47
Offset: 705, New Value: 18
Offset: 706, New Value: fc
Offset: 707, New Value: 0d
Offset: 708, New Value: 10
Offset: 709, New Value: 01
Offset: 710, New Value: 80
Offset: 711, New Value: 88
Offset: 712, New Value: 08
Offset: 713, New Value: 10
Offset: 714, New Value: 2a
Offset: 715, New Value: 60
Offset: 716, New Value: b4
Offset: 717, New Value: 18
Offset: 718, New Value: 31
Offset: 719, New Value: a4
Offset: 720, New Value: 03
Offset: 721, New Value: 8c
Offset: 722, New Value: 11
Offset: 723, New Value: c6
Offset: 724, New Value: 3f
Offset: 725, New Value: 03
Offset: 726, New Value: 44
Offset: 728, New Value: 68
Offset: 729, New Value: 32
Offset: 730, New Value: 02
Offset: 731, New Value: 06
Offset: 732, New Value: 0a
Offset: 733, New Value: 98
