Offset: 74, New Value: 9a
Offset: 589, New Value: 00
Offset: 591, New Value: e0
Offset: 592, New Value: 26
Offset: 593, New Value: 09
Offset: 594, New Value: d5
Offset: 595, New Value: 00
Offset: 596, New Value: 07
Offset: 597, New Value: 10
Offset: 598, New Value: 80
Offset: 599, New Value: 14
Offset: 600, New Value: 14
Offset: 601, New Value: 01
Offset: 602, New Value: c0
Offset: 603, New Value: 8c
Offset: 604, New Value: 13
Offset: 605, New Value: aa
Offset: 606, New Value: 00
Offset: 608, New Value: 21
Offset: 609, New Value: 00
Offset: 610, New Value: 28
Offset: 611, New Value: 50
Offset: 612, New Value: 00
Offset: 613, New Value: 40
Offset: 617, New Value: 08
Offset: 618, New Value: 00
Offset: 619, New Value: 20
Offset: 620, New Value: 10
Offset: 621, New Value: 00
Offset: 622, New Value: 42
Offset: 623, New Value: 70
Offset: 624, New Value: 5d
Offset: 625, New Value: 00
Offset: 626, New Value: 15
Offset: 627, New Value: 28
Offset: 628, New Value: 01
Offset: 629, New Value: c3
Offset: 630, New Value: 74
Offset: 631, New Value: 00
Offset: 632, New Value: 1c
Offset: 633, New Value: a0
Offset: 634, New Value: a7
Offset: 635, New Value: 15
Offset: 636, New Value: d0
Offset: 637, New Value: 00
Offset: 638, New Value: 02
Offset: 639, New Value: 85
Offset: 640, New Value: 02
Offset: 641, New Value: 00
Offset: 643, New Value: 04
Offset: 644, New Value: 04
Offset: 646, New Value: 10
Offset: 647, New Value: 00
Offset: 650, New Value: 40
Offset: 651, New Value: a9
Offset: 652, New Value: 00
Offset: 653, New Value: c0
Offset: 654, New Value: 28
Offset: 655, New Value: 00
Offset: 656, New Value: 30
Offset: 657, New Value: 5c
Offset: 658, New Value: 00
Offset: 659, New Value: 30
Offset: 660, New Value: b1
Offset: 661, New Value: 01
Offset: 662, New Value: 40
Offset: 663, New Value: 48
Offset: 664, New Value: 01
Offset: 665, New Value: 50
Offset: 666, New Value: 64
Offset: 667, New Value: 01
Offset: 668, New Value: 50
Offset: 669, New Value: b9
Offset: 670, New Value: 01
Offset: 671, New Value: c0
Offset: 672, New Value: 68
Offset: 673, New Value: 02
Offset: 674, New Value: 70
Offset: 675, New Value: 6c
Offset: 676, New Value: 02
Offset: 677, New Value: 70
Offset: 678, New Value: a5
Offset: 679, New Value: a0
Offset: 680, New Value: 40
Offset: 681, New Value: 8b
Offset: 682, New Value: 20
Offset: 683, New Value: 1c
Offset: 684, New Value: 20
Offset: 685, New Value: 8e
Offset: 686, New Value: 31
Offset: 687, New Value: f8
Offset: 688, New Value: 1a
Offset: 689, New Value: 20
Offset: 690, New Value: 02
Offset: 691, New Value: c0
Offset: 692, New Value: 90
Offset: 693, New Value: 10
Offset: 694, New Value: 10
Offset: 695, New Value: 54
Offset: 696, New Value: c1
Offset: 697, New Value: 68
Offset: 698, New Value: 20
Offset: 699, New Value: 43
Offset: 700, New Value: 08
Offset: 701, New Value: 07
Offset: 702, New Value: 10
Offset: 703, New Value: 23
Offset: 704, New Value: 8c
Offset: 705, New Value: 7e
Offset: 706, New Value: 06
Offset: 707, New Value: 88
Offset: 708, New Value: 00
Offset: 709, New Value: c0
Offset: 710, New Value: 44
Offset: 711, New Value: 04
Offset: 712, New Value: 08
Offset: 713, New Value: 15
Offset: 714, New Value: 30
Offset: 715, New Value: 5a
Offset: 716, New Value: 0c
Offset: 717, New Value: 18
Offset: 718, New Value: d2
Offset: 719, New Value: 01
Offset: 720, New Value: c6
Offset: 721, New Value: 08
Offset: 722, New Value: e3
Offset: 723, New Value: 1f
Offset: 724, New Value: 81
Offset: 725, New Value: a2
Offset: 726, New Value: 00
Offset: 727, New Value: 34
Offset: 728, New Value: 19
Offset: 729, New Value: 01
Offset: 730, New Value: 03
Offset: 731, New Value: 05
Offset: 732, New Value: 4c
Offset: 733, New Value: 00
Offset: 734, New Value: 3f
Offset: 735, New Value: 00
