bug_line,test_case
/home/openairinterface5g/openair1/PHY/NR_UE_TRANSPORT/srs_modulation_nr.c:383,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f452_f453/ue_crash_1_20260113_025913.log
/home/openairinterface5g/openair1/PHY/nr_phy_common/src/nr_phy_common_csirs.c:42,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f694_f697/ue_crash_1_20260113_030830.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:2692,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_346_mut1/ue_crash_0_20251214_165117.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_0_20251214_141446.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:4598,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_395_mut2/ue_crash_0_20251214_174022.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5109,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f831_f832/ue_crash_1_20260113_033026.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_0_20251214_224249.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5139,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f823_f830/ue_crash_1_20260113_032742.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5206,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f825_f830/ue_crash_1_20260113_032847.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/config_ue.c:2486,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_336_mut1/ue_crash_0_20251214_164233.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/config_ue.c:2570,c3_c4_gdb_results/c4_compiled_inter-IE_mac_sch_f133_f359/ue_crash_1_20260113_034900.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/config_ue.c:953,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_323_mut1/ue_crash_0_20251214_163311.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/nr_ra_procedures.c:79,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_23_mut1/ue_crash_0_20251214_151830.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/nr_ue_dci_configuration.c:106,c3_c4_gdb_results/c4_compiled_inter-IE_mac_sch_f108_f117/ue_crash_1_20260113_033455.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/nr_ue_dci_configuration.c:416,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_296_mut1/ue_crash_0_20251214_160147.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/nr_ue_power_procedures.c:497,c2_gdb_results/c2_compiled_presence_payloads_mac_sch_msg3_DeltaPreamble_p0_NominalWithGrant_offset/ue_crash_0_20251215_012330.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/nr_ue_power_procedures.c:498,c2_gdb_results/c2_compiled_presence_payloads_mac_sch_alpha_slotoffset_offset/ue_crash_0_20251215_011823.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/nr_ue_procedures.c:1253,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_411_mut2/ue_crash_1_20251214_180022.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/nr_ue_procedures.c:1344,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_683_mut2/ue_crash_0_20251214_223958.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/nr_ue_procedures.c:1929,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_829_mut2/ue_crash_0_20251215_003316.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_UE/nr_ue_procedures.c:2223,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_392_mut2/ue_crash_0_20251214_173657.log
